110803,No
87289,No
134949,No
85553,No
16110,Yes
57943,Yes
125834,No
130086,No
124849,No
42945,No
14055,No
33542,No
37347,No
44372,Yes
4640,No
33345,No
135865,No
18046,No
131181,No
86623,No
13787,No
82634,Yes
142157,No
12507,No
88676,Yes
97411,No
26382,No
136973,No
23355,Yes
13628,No
87152,No
35162,No
115533,No
35365,No
64862,No
127232,No
27668,No
120001,No
84622,Yes
67096,Yes
93296,No
76205,No
82721,No
3436,No
72822,No
87698,Yes
14734,No
133081,No
6857,Yes
57259,No
23951,No
115861,No
89172,No
94503,No
93323,No
125283,Yes
15901,Yes
10272,No
124724,No
5758,Yes
69273,No
120944,No
47337,No
11356,No
81601,No
38710,No
84429,Yes
110143,Yes
60782,No
48088,Yes
109299,Yes
109672,No
79711,No
9113,Yes
6296,Yes
16129,No
43370,No
4420,No
138395,No
81503,No
346,No
56096,No
10390,Yes
16217,No
63959,No
108817,Yes
25847,No
85404,No
52733,Yes
21577,No
92453,No
107873,Yes
58760,No
1122,No
53896,Yes
13136,Yes
41894,Yes
1320,No
76258,No
110527,Yes
111544,Yes
50638,No
12063,No
71679,No
42605,No
136323,No
24292,No
19802,Yes
68499,No
38946,No
8273,Yes
16572,Yes
125800,No
42671,No
126684,No
135969,No
103358,No
66776,Yes
125143,No
118248,No
26847,No
22576,Yes
103111,No
96551,Yes
12952,No
50644,No
106161,Yes
88281,Yes
34856,Yes
46491,No
123379,No
56093,No
123955,No
21193,No
4792,Yes
78528,Yes
90506,No
56716,No
134478,No
99556,No
8322,No
24640,No
92709,No
139412,No
95568,Yes
89553,No
96530,Yes
139325,No
117758,No
139409,No
18865,Yes
124151,No
55139,No
77190,No
57769,No
41793,Yes
56955,Yes
112716,Yes
67364,No
47829,No
122257,No
103122,No
63012,No
18677,Yes
35872,No
21358,No
83121,Yes
89589,No
92824,No
80851,Yes
112219,Yes
8771,No
28137,No
123435,Yes
110007,Yes
41865,No
27611,No
79838,No
17491,No
27806,Yes
86170,No
97283,Yes
70839,No
68179,Yes
46854,No
43616,No
77750,No
